X,Y,Fmol_err,Surftot_err,NewX,NewY,Radius
24,3,,,-4,-25,4.396420707588888
25,3,,,-3,-25,4.3723493925882755
26,3,,,-2,-25,4.35507413976293
27,3,,,-1,-25,4.344676017151416
28,3,,,0,-25,4.34120444167326
29,3,,,1,-25,4.344676017151416
30,3,,,2,-25,4.35507413976293
31,3,,,3,-25,4.3723493925882755
32,3,,,4,-25,4.396420707588888
33,3,,,5,-25,4.427177232117525
34,3,,,6,-25,4.464480801869048
35,3,,,7,-25,4.508168896031835
36,3,,,8,-25,4.558057935048059
37,3,,,9,-25,4.613946777171835
38,3,,,10,-25,4.675620275974967
39,3,,,11,-25,4.7428527751614
40,3,,,12,-25,4.815411437023657
41,3,,,13,-25,4.893059323980692
42,3,,,14,-25,4.9755581764646895
43,3,,,15,-25,5.0626708530171065
44,3,,,16,-25,5.154163418422758
45,3,,,17,-25,5.249806882242421
46,3,,,18,-25,5.349378602892722
47,3,,,19,-25,5.452663381554668
48,3,,,20,-25,5.559454276025838
49,3,,,21,-25,5.66955316767652
50,3,,,22,-25,5.782771115495912
51,3,,,23,-25,5.898928530379979
52,3,,,24,-25,6.0178552008221375
53,3,,,25,-25,6.139390198448645
54,3,,,26,-25,6.26338168873386
55,3,,,27,-25,6.389686668995597
0,4,,,-28,-24,6.403828375712635
1,4,,,-27,-24,6.273002864433812
2,4,,,-26,-24,6.144299747572654
3,4,,,-25,-24,6.0178552008221375
4,4,,,-24,-24,5.893814590510698
5,4,,,-23,-24,5.772332891975795
6,4,,,-22,-24,5.653575062159216
7,4,,,-21,-24,5.537716346145369
8,4,,,-20,-24,5.424942493379698
9,4,,,-19,-24,5.315449855073599
10,4,,,-18,-24,5.209445330007912
11,4,,,-17,-24,5.107146121866364
12,4,,,-16,-24,5.0087792677519865
13,4,,,-15,-24,4.914580895177504
14,4,,,-14,-24,4.824795164215718
15,4,,,-13,-24,4.739672853399182
16,4,,,-12,-24,4.659469553186607
17,4,,,-11,-24,4.584443440169259
18,4,,,-10,-24,4.514852619340191
19,4,,,-9,-24,4.450952041061453
20,4,,,-8,-24,4.39299002372067
21,4,,,-7,-24,4.34120444167326
22,4,,,-6,-24,4.295818669300655
23,4,,,-5,-24,4.257037403386837
24,4,,,-4,-24,4.22504251426789
25,4,,,-3,-24,4.199989097619398
26,4,,,-2,-24,4.182001909622541
27,4,,,-1,-24,4.171172365566478
28,4,,,0,-24,4.16755626400633
29,4,,,1,-24,4.171172365566478
30,4,,,2,-24,4.182001909622541
31,4,,,3,-24,4.199989097619398
32,4,,,4,-24,4.22504251426789
33,4,,,5,-24,4.257037403386837
34,4,,,6,-24,4.295818669300655
35,4,,,7,-24,4.34120444167326
36,4,,,8,-24,4.39299002372067
37,4,,,9,-24,4.450952041061453
38,4,,,10,-24,4.514852619340191
39,4,,,11,-24,4.584443440169259
40,4,,,12,-24,4.659469553186607
41,4,,,13,-24,4.739672853399182
42,4,,,14,-24,4.824795164215718
43,4,,,15,-24,4.914580895177504
44,4,,,16,-24,5.0087792677519865
45,4,,,17,-24,5.107146121866364
46,4,,,18,-24,5.209445330007912
47,4,,,19,-24,5.315449855073599
48,4,,,20,-24,5.424942493379698
49,4,,,21,-24,5.537716346145369
50,4,,,22,-24,5.653575062159216
51,4,,,23,-24,5.772332891975795
52,4,,,24,-24,5.893814590510698
53,4,,,25,-24,6.0178552008221375
54,4,,,26,-24,6.144299747572654
55,4,,,27,-24,6.273002864433812
0,5,,,-28,-23,6.292201081819554
